pub_year,perc_intext_citations,type,threshold
1998,0.004539569,citations,80
1999,0.004572064,citations,80
2000,0.004437385,citations,80
2001,0.004484582,citations,80
2002,0.004441231,citations,80
2003,0.004500904,citations,80
2004,0.004508636,citations,80
2005,0.004508229,citations,80
2006,0.004591115,citations,80
2007,0.004544923,citations,80
2008,0.004414749,citations,80
2009,0.004471719,citations,80
2010,0.00453438,citations,80
2011,0.004425429,citations,80
2012,0.004403112,citations,80
2013,0.004408662,citations,80
2014,0.004235441,citations,80
2015,0.004165601,citations,80
2016,0.004128636,citations,80
All,0.004387556,citations,80
1998,0.005129955,citations,75
1999,0.005150815,citations,75
2000,0.004978103,citations,75
2001,0.005051338,citations,75
2002,0.005006101,citations,75
2003,0.005109727,citations,75
2004,0.005097325,citations,75
2005,0.005102352,citations,75
2006,0.005166556,citations,75
2007,0.005123061,citations,75
2008,0.004973375,citations,75
2009,0.005062154,citations,75
2010,0.005120343,citations,75
2011,0.004996372,citations,75
2012,0.004999153,citations,75
2013,0.004998492,citations,75
2014,0.00482291,citations,75
2015,0.004717378,citations,75
2016,0.004676417,citations,75
All,0.004963098,citations,75
1998,0.005573943,citations,70
1999,0.005600859,citations,70
2000,0.005434082,citations,70
2001,0.005508804,citations,70
2002,0.005474776,citations,70
2003,0.00556116,citations,70
2004,0.005553497,citations,70
2005,0.005543176,citations,70
2006,0.005602241,citations,70
2007,0.00554349,citations,70
2008,0.005397508,citations,70
2009,0.005493278,citations,70
2010,0.005549728,citations,70
2011,0.005410612,citations,70
2012,0.005415199,citations,70
2013,0.005422103,citations,70
2014,0.005252964,citations,70
2015,0.005141,citations,70
2016,0.005102373,citations,70
All,0.005394443,citations,80
1998,0.00312355,citances,80
1999,0.003145564,citances,80
2000,0.003062203,citances,80
2001,0.003171661,citances,80
2002,0.003152027,citances,80
2003,0.003224673,citances,80
2004,0.003177359,citances,80
2005,0.003224951,citances,80
2006,0.00323367,citances,80
2007,0.003223076,citances,80
2008,0.003189162,citances,80
2009,0.003229774,citances,80
2010,0.003248363,citances,80
2011,0.00318586,citances,80
2012,0.003169133,citances,80
2013,0.003166934,citances,80
2014,0.003058586,citances,80
2015,0.002983971,citances,80
2016,0.002961173,citances,80
All,0.003134633,citances,80
1998,0.003532171,citances,75
1999,0.003549862,citances,75
2000,0.003436374,citances,75
2001,0.003560248,citances,75
2002,0.003552247,citances,75
2003,0.003645782,citances,75
2004,0.00359349,citances,75
2005,0.003640156,citances,75
2006,0.003640853,citances,75
2007,0.003640036,citances,75
2008,0.003590592,citances,75
2009,0.003643892,citances,75
2010,0.003659505,citances,75
2011,0.003591827,citances,75
2012,0.003595511,citances,75
2013,0.003583413,citances,75
2014,0.003468259,citances,75
2015,0.003375178,citances,75
2016,0.003356702,citances,75
All,0.003541604,citances,75
1998,0.003948082,citances,70
1999,0.003945942,citances,70
2000,0.003855975,citances,70
2001,0.003987642,citances,70
2002,0.003983668,citances,70
2003,0.004078181,citances,70
2004,0.004003753,citances,70
2005,0.004048042,citances,70
2006,0.004045476,citances,70
2007,0.004033222,citances,70
2008,0.003991757,citances,70
2009,0.004048919,citances,70
2010,0.004063812,citances,70
2011,0.003983581,citances,70
2012,0.00398131,citances,70
2013,0.003983748,citances,70
2014,0.003892665,citances,70
2015,0.003787554,citances,70
2016,0.003766998,citances,70
All,0.003949173,citances,70